iter	Passed	Remaining
325	585	1209
326	586	1207
327	587	1204
328	589	1202
329	590	1199
330	592	1196
331	593	1193
332	594	1191
333	596	1189
334	597	1187
335	599	1184
336	600	1181
337	601	1178
338	604	1177
339	605	1176
340	607	1173
341	608	1171
342	610	1168
343	611	1166
344	613	1163
345	614	1161
346	615	1159
347	617	1156
348	618	1154
349	620	1151
350	621	1149
351	622	1146
352	624	1143
353	625	1141
354	626	1139
355	628	1136
356	629	1133
357	630	1131
358	631	1128
359	633	1125
360	634	1123
361	636	1121
362	637	1118
363	638	1116
364	640	1114
365	641	1112
366	643	1109
367	644	1106
368	645	1104
369	647	1101
370	648	1099
371	650	1097
372	651	1095
373	653	1093
374	654	1090
375	655	1088
376	657	1086
377	658	1083
378	659	1080
379	661	1078
380	662	1076
381	663	1073
382	665	1071
383	666	1068
384	667	1066
385	668	1063
386	670	1061
387	671	1059
388	672	1056
389	674	1054
390	675	1051
391	676	1049
392	677	1046
393	679	1045
394	680	1042
395	681	1040
396	683	1037
397	684	1035
398	685	1032
399	686	1030
400	688	1027
401	689	1025
402	690	1023
403	692	1020
404	693	1018
405	695	1016
406	696	1014
407	698	1013
408	699	1010
409	700	1008
410	701	1005
411	703	1003
412	704	1000
413	705	998
414	706	995
415	707	993
416	708	990
417	710	988
418	711	986
419	712	983
420	713	981
421	714	978
422	715	976
423	717	974
424	718	971
425	719	969
426	720	966
427	721	964
428	722	961
429	723	959
430	725	957
431	726	954
432	727	952
433	728	950
434	729	947
435	730	945
436	731	942
437	732	940
438	734	938
439	735	935
440	736	933
441	737	930
442	738	928
443	739	926
444	741	924
445	742	921
446	743	919
447	744	917
448	745	914
449	746	912
450	748	910
451	749	908
452	750	905
453	751	903
454	752	901
455	753	898
456	754	896
457	755	894
458	756	892
459	758	889
460	759	887
461	760	885
